county,sex,age,education,marital_status,household_size,roof_type,floor_type,wall_type,cooking_fuel,water_source,toilet_type,owns_computer,owns_motorcycle,owns_car,income_farming,income_employed,income_casual,income_selfemployed,reported_income,expenditure,quintile,livelihood,compliant_premium
7,1,29,7,4,5,5.0,7.0,11.0,7.0,14.0,5.0,0,0,0,0,0,0,0,30000.0,43033.33333333333,4.0,5,1183.4166666666665
7,1,60,1,4,11,5.0,1.0,5.0,5.0,7.0,6.0,0,0,0,0,0,0,0,10000.0,11373.333333333334,2.0,6,312.7666666666667
40,2,35,3,2,2,5.0,8.0,11.0,3.0,15.0,5.0,0,0,0,0,0,1,0,3000.0,20833.333333333336,4.0,3,572.9166666666667
22,1,24,4,1,1,5.0,8.0,10.0,3.0,11.0,5.0,0,0,0,0,0,1,0,10000.0,6950.0,3.0,3,191.125
21,2,20,6,1,1,5.0,7.0,12.0,3.0,11.0,2.0,0,0,0,0,0,0,0,10000.0,13700.0,5.0,5,376.75
3,1,60,5,4,3,5.0,8.0,12.0,7.0,14.0,5.0,0,0,0,0,0,0,1,4000.0,9766.666666666668,4.0,4,268.58333333333337
12,1,40,2,1,6,5.0,7.0,16.0,5.0,14.0,5.0,0,0,0,1,0,1,0,1000.0,15516.666666666668,3.0,3,426.70833333333337
3,1,43,2,4,7,3.0,1.0,4.0,7.0,14.0,5.0,0,0,0,0,0,0,1,8500.0,10600.0,1.0,4,291.5
42,1,27,3,4,4,5.0,8.0,4.0,7.0,14.0,5.0,0,0,0,0,0,1,0,1500.0,8000.0,2.0,3,220.0
30,1,29,5,4,1,5.0,8.0,11.0,3.0,14.0,5.0,1,0,0,1,1,1,0,6500.0,42416.66666666667,4.0,1,1166.4583333333335
11,1,29,1,4,5,5.0,8.0,5.0,5.0,9.0,5.0,0,1,0,0,0,0,0,8500.0,11500.0,2.0,5,316.25
14,1,53,4,4,3,5.0,1.0,5.0,5.0,9.0,5.0,0,0,0,1,0,1,0,4200.0,5723.333333333333,2.0,3,157.39166666666665
3,1,32,1,4,4,5.0,8.0,11.0,5.0,4.0,6.0,0,0,0,1,0,0,0,,4433.333333333333,2.0,1,121.91666666666666
1,2,37,9,1,2,5.0,7.0,11.0,3.0,10.0,1.0,0,0,0,0,0,0,1,25000.0,17583.333333333336,5.0,4,483.54166666666674
28,1,50,3,4,2,5.0,7.0,11.0,5.0,10.0,2.0,0,0,0,1,0,0,0,10000.0,38550.0,5.0,1,1060.125
43,1,49,2,4,3,5.0,1.0,4.0,5.0,9.0,5.0,0,0,0,0,0,0,1,,5750.0,1.0,4,158.125
44,1,54,6,4,10,5.0,8.0,11.0,5.0,7.0,4.0,0,0,0,0,1,0,0,70000.0,14666.666666666666,3.0,2,403.3333333333333
41,1,25,6,4,3,5.0,8.0,11.0,3.0,14.0,1.0,1,1,0,0,0,0,1,27000.0,17966.666666666664,5.0,4,494.08333333333326
24,2,21,3,1,2,5.0,8.0,5.0,7.0,15.0,5.0,0,0,0,0,0,1,0,1500.0,2900.0,2.0,3,79.75
19,2,63,5,1,1,5.0,8.0,12.0,3.0,10.0,5.0,0,0,0,0,0,0,1,20000.0,7150.0,5.0,4,196.625
36,2,40,5,3,6,5.0,2.0,4.0,5.0,4.0,5.0,0,0,0,1,0,0,0,1000.0,15203.333333333334,2.0,1,418.0916666666667
17,2,19,5,1,5,5.0,1.0,13.0,5.0,4.0,5.0,0,0,0,0,0,1,0,5000.0,14120.0,2.0,5,388.3
36,1,47,2,4,7,5.0,2.0,4.0,5.0,7.0,6.0,0,0,0,0,0,1,0,5000.0,8853.333333333334,1.0,3,243.4666666666667
27,1,18,3,1,7,5.0,7.0,11.0,7.0,9.0,4.0,0,1,0,0,0,0,0,300.0,13500.0,5.0,5,371.25
39,1,54,5,1,5,5.0,7.0,11.0,5.0,7.0,5.0,0,0,0,1,0,0,0,5000.0,23016.666666666668,3.0,1,632.9583333333334
3,1,47,2,4,7,3.0,1.0,5.0,5.0,11.0,5.0,0,0,0,0,0,0,1,,5633.333333333334,1.0,4,154.91666666666669
42,1,30,2,4,5,5.0,8.0,6.0,7.0,15.0,6.0,0,0,0,0,0,0,1,2000.0,9416.666666666666,3.0,4,258.9583333333333
36,1,30,5,4,4,5.0,8.0,11.0,5.0,10.0,5.0,0,0,0,0,0,0,1,1000.0,4300.0,4.0,4,118.25
32,1,24,5,1,1,5.0,8.0,11.0,3.0,11.0,5.0,0,0,0,0,0,1,0,14000.0,18400.0,5.0,3,506.0
39,2,77,1,3,10,5.0,2.0,4.0,5.0,11.0,5.0,0,0,0,0,0,0,0,2000.0,1030.0,2.0,5,28.325
37,1,26,4,4,5,5.0,2.0,4.0,5.0,4.0,6.0,0,0,0,0,0,1,0,500.0,8566.666666666668,1.0,3,235.58333333333337
2,1,39,3,4,1,5.0,8.0,11.0,7.0,14.0,3.0,0,0,0,0,0,0,1,50000.0,40583.333333333336,4.0,4,1116.0416666666667
15,2,39,3,2,6,5.0,8.0,11.0,7.0,14.0,5.0,0,0,0,0,0,0,1,11000.0,13066.666666666666,3.0,4,359.3333333333333
9,2,30,1,4,5,5.0,8.0,2.0,5.0,2.0,5.0,0,0,0,0,0,1,0,25000.0,12350.0,1.0,3,339.625
24,1,30,1,4,5,2.0,1.0,4.0,5.0,4.0,8.0,0,0,0,1,0,1,0,5300.0,3466.6666666666665,1.0,3,95.33333333333333
47,1,56,9,4,3,11.0,5.0,12.0,1.0,10.0,4.0,1,0,1,0,1,0,1,,25783.333333333332,5.0,2,709.0416666666666
2,2,70,1,3,1,3.0,1.0,4.0,5.0,2.0,6.0,0,0,0,0,0,0,0,,9500.0,1.0,6,261.25
16,1,33,2,4,5,5.0,8.0,11.0,5.0,4.0,5.0,0,0,0,0,0,1,0,2000.0,9666.666666666668,3.0,5,265.83333333333337
1,1,28,5,4,3,5.0,9.0,11.0,3.0,14.0,1.0,0,0,0,0,0,0,1,15000.0,6933.333333333333,5.0,4,190.66666666666666
2,1,20,3,1,5,5.0,1.0,12.0,5.0,15.0,5.0,0,0,0,0,0,0,0,600.0,6150.0,3.0,5,169.125
42,1,18,4,1,5,5.0,8.0,4.0,5.0,4.0,5.0,0,0,0,0,0,1,0,500.0,7333.333333333334,2.0,5,201.66666666666669
13,1,22,6,1,5,5.0,1.0,5.0,5.0,4.0,5.0,0,0,0,1,0,0,0,1000.0,34133.333333333336,1.0,1,938.6666666666667
43,2,28,2,4,5,5.0,1.0,4.0,5.0,4.0,5.0,0,0,0,0,0,1,0,5000.0,5950.0,1.0,3,163.625
27,1,29,2,4,2,5.0,8.0,10.0,7.0,11.0,5.0,0,0,0,0,0,0,1,5000.0,14300.0,4.0,4,393.25
28,1,20,4,4,3,5.0,1.0,4.0,7.0,11.0,5.0,0,0,0,0,0,1,0,3500.0,4700.0,2.0,3,129.25
28,2,51,2,3,3,5.0,8.0,13.0,5.0,9.0,5.0,0,0,0,0,0,1,0,6000.0,22530.0,2.0,3,619.575
22,2,28,7,4,3,8.0,7.0,11.0,3.0,10.0,2.0,1,0,1,0,1,0,0,20000.0,20900.0,5.0,2,574.75
41,2,16,3,1,2,5.0,2.0,4.0,5.0,4.0,5.0,0,0,0,0,0,1,0,5000.0,1883.3333333333333,1.0,3,51.791666666666664
18,2,70,2,3,1,5.0,8.0,6.0,5.0,13.0,4.0,0,0,0,1,0,0,0,4000.0,2120.0,3.0,1,58.3
21,1,44,2,4,4,5.0,8.0,10.0,5.0,4.0,5.0,0,0,0,1,0,1,0,3000.0,4020.0,2.0,3,110.55
10,1,31,5,4,1,5.0,8.0,11.0,3.0,14.0,5.0,0,0,0,0,1,0,0,18000.0,20500.0,4.0,2,563.75
22,1,65,5,4,3,5.0,1.0,10.0,3.0,7.0,5.0,1,1,0,0,0,0,0,1500.0,3200.0,4.0,5,88.0
16,1,26,2,4,2,5.0,1.0,11.0,5.0,4.0,6.0,0,0,0,0,0,1,0,4000.0,2916.666666666667,2.0,3,80.20833333333334
20,1,50,2,4,4,5.0,1.0,13.0,5.0,4.0,6.0,0,0,0,0,0,1,0,5000.0,3550.0,2.0,3,97.625
11,2,21,5,1,8,5.0,8.0,10.0,7.0,11.0,5.0,0,0,0,0,1,0,0,10000.0,18050.0,4.0,5,496.375
28,1,80,1,2,1,5.0,8.0,11.0,5.0,4.0,5.0,0,0,0,0,0,0,0,1700.0,500.0,2.0,5,13.75
1,1,59,3,4,1,5.0,1.0,5.0,2.0,14.0,6.0,0,0,0,0,1,0,0,20000.0,16985.0,2.0,2,467.0875
20,1,18,5,1,4,5.0,8.0,12.0,3.0,11.0,4.0,0,1,0,0,1,1,0,12000.0,5750.0,5.0,2,158.125
35,2,43,2,4,7,5.0,1.0,12.0,5.0,10.0,5.0,0,0,0,0,1,0,0,2000.0,21700.0,4.0,2,596.75
43,2,40,2,3,4,5.0,1.0,5.0,5.0,4.0,6.0,0,0,0,1,0,0,0,10000.0,14966.666666666666,1.0,1,411.5833333333333
45,1,19,5,1,5,5.0,8.0,13.0,5.0,4.0,5.0,0,0,0,1,0,1,0,250.0,18600.0,2.0,1,511.5
41,2,70,1,3,1,5.0,2.0,4.0,5.0,4.0,8.0,0,0,0,0,0,1,0,,4110.0,1.0,3,113.025
1,2,29,5,4,3,5.0,8.0,12.0,7.0,14.0,4.0,0,0,0,0,0,1,0,2000.0,6224.666666666667,3.0,3,171.17833333333334
6,1,31,3,1,2,5.0,8.0,11.0,3.0,11.0,4.0,1,1,1,0,1,0,0,10000.0,30000.0,5.0,2,825.0
43,2,40,3,4,3,5.0,8.0,4.0,7.0,4.0,5.0,0,0,0,0,0,0,1,5000.0,14033.333333333334,2.0,4,385.9166666666667
11,1,34,9,4,1,5.0,8.0,16.0,3.0,11.0,5.0,1,0,0,0,1,0,0,,27766.666666666668,4.0,2,763.5833333333334
38,1,47,2,4,5,5.0,2.0,4.0,5.0,4.0,6.0,0,0,0,1,0,1,0,,4433.333333333334,1.0,3,121.91666666666669
36,1,27,9,1,1,5.0,8.0,13.0,3.0,13.0,4.0,1,0,0,0,1,0,0,12000.0,18000.0,5.0,2,495.0
43,2,37,2,3,6,5.0,8.0,11.0,7.0,15.0,6.0,0,0,0,0,0,0,1,10000.0,1200.0,3.0,4,33.0
26,1,25,5,1,6,5.0,2.0,4.0,5.0,4.0,5.0,0,0,0,0,0,0,0,5000.0,9200.0,1.0,6,253.0
40,2,58,2,3,9,5.0,1.0,4.0,5.0,9.0,6.0,0,0,0,1,0,1,0,4000.0,7500.0,1.0,3,206.25
33,1,21,3,1,15,5.0,8.0,12.0,7.0,14.0,5.0,0,0,0,0,0,0,0,,16800.0,4.0,5,462.0
33,1,22,5,4,3,5.0,8.0,12.0,3.0,14.0,4.0,0,0,0,0,0,0,0,,7600.0,4.0,5,209.0
34,1,31,7,4,1,5.0,8.0,10.0,3.0,9.0,5.0,0,0,0,0,0,0,1,12000.0,23666.666666666668,3.0,4,650.8333333333334
41,1,62,5,4,6,5.0,8.0,11.0,3.0,3.0,5.0,0,0,0,1,0,0,0,20000.0,29333.333333333332,4.0,1,806.6666666666666
10,1,29,1,4,5,5.0,8.0,11.0,7.0,14.0,5.0,0,0,0,0,0,0,0,15000.0,19400.0,3.0,5,533.5
37,1,30,4,4,5,5.0,2.0,4.0,5.0,4.0,5.0,0,0,0,0,0,1,1,1000.0,5300.0,1.0,3,145.75
42,1,16,4,1,5,5.0,1.0,4.0,5.0,9.0,5.0,0,0,0,0,0,1,0,1000.0,7833.333333333334,2.0,5,215.41666666666669
34,2,37,2,1,2,5.0,8.0,10.0,5.0,14.0,8.0,0,0,0,0,0,1,0,4000.0,3013.3333333333335,2.0,3,82.86666666666667
26,1,16,4,1,4,5.0,2.0,4.0,5.0,9.0,5.0,0,0,0,0,0,0,0,300.0,4333.333333333334,2.0,5,119.16666666666669
32,1,44,5,4,4,5.0,1.0,4.0,5.0,13.0,5.0,0,1,0,1,0,0,0,4500.0,18516.666666666664,2.0,1,509.20833333333326
35,1,23,5,4,3,5.0,1.0,4.0,5.0,9.0,5.0,0,1,0,1,0,0,0,8000.0,8166.666666666667,1.0,1,224.58333333333334
31,1,40,4,4,3,5.0,1.0,4.0,5.0,13.0,5.0,0,1,0,0,0,1,0,2400.0,7200.0,2.0,3,198.0
29,1,33,4,4,5,5.0,8.0,12.0,5.0,7.0,5.0,0,0,0,0,0,0,1,10000.0,7066.666666666666,2.0,4,194.33333333333331
5,1,49,3,4,4,5.0,1.0,4.0,5.0,6.0,5.0,0,1,0,1,0,0,0,,6766.666666666667,2.0,1,186.08333333333334
9,2,18,4,1,3,2.0,1.0,1.0,5.0,9.0,6.0,0,0,0,0,0,0,0,7000.0,13900.0,1.0,6,382.25
21,1,29,5,4,3,8.0,8.0,12.0,7.0,12.0,5.0,0,1,0,0,0,0,1,6000.0,7550.0,4.0,4,207.625
35,1,66,2,4,3,5.0,8.0,10.0,3.0,15.0,5.0,0,0,0,1,0,0,0,3000.0,7583.333333333334,3.0,1,208.54166666666669
12,2,48,3,2,1,5.0,8.0,16.0,5.0,11.0,5.0,0,0,0,1,0,0,0,2000.0,9600.0,2.0,1,264.0
29,1,49,3,4,11,5.0,2.0,4.0,5.0,6.0,5.0,0,1,0,0,0,1,0,6000.0,6633.333333333334,2.0,3,182.41666666666669
2,2,45,1,3,7,5.0,8.0,7.0,5.0,10.0,4.0,0,0,0,0,0,0,1,7000.0,12833.333333333334,4.0,4,352.9166666666667
19,1,41,3,4,4,5.0,8.0,16.0,5.0,13.0,5.0,1,0,0,0,0,1,0,100000.0,17533.333333333332,3.0,3,482.16666666666663
28,1,47,3,4,8,5.0,8.0,11.0,5.0,4.0,5.0,0,0,0,0,0,1,0,10000.0,14883.333333333334,3.0,3,409.2916666666667
29,1,39,4,4,5,5.0,1.0,4.0,5.0,9.0,5.0,0,1,0,0,0,1,0,2000.0,22573.333333333332,2.0,3,620.7666666666667
42,1,24,10,4,2,5.0,8.0,11.0,3.0,11.0,6.0,0,0,0,0,0,1,0,10000.0,12650.0,4.0,3,347.875
3,2,57,2,3,20,5.0,1.0,11.0,5.0,9.0,5.0,0,0,0,0,0,1,0,6000.0,16300.0,2.0,3,448.25
33,1,35,1,4,8,5.0,1.0,16.0,5.0,4.0,8.0,0,0,0,1,1,0,0,2000.0,10366.666666666666,2.0,2,285.0833333333333
44,2,50,2,4,2,5.0,1.0,5.0,5.0,4.0,5.0,0,0,0,1,0,0,0,2000.0,4000.0,1.0,5,110.0
19,1,37,2,4,3,5.0,8.0,12.0,6.0,11.0,5.0,0,0,0,0,0,1,0,5000.0,3600.0,4.0,3,99.0
35,1,71,7,4,2,5.0,7.0,11.0,3.0,10.0,2.0,1,0,1,0,0,0,0,,7800.0,5.0,5,214.5
17,2,53,5,4,1,5.0,8.0,12.0,5.0,14.0,5.0,0,0,0,1,0,0,0,5000.0,2500.0,3.0,5,68.75
42,2,20,6,1,2,5.0,8.0,11.0,3.0,15.0,6.0,0,0,0,0,0,0,0,2000.0,19466.666666666668,4.0,5,535.3333333333334
9,1,39,1,4,7,5.0,8.0,1.0,5.0,2.0,5.0,0,1,0,0,0,1,0,18000.0,10600.0,1.0,3,291.5
28,2,28,5,1,4,5.0,9.0,6.0,5.0,9.0,5.0,0,0,0,0,0,1,0,1000.0,4100.0,2.0,3,112.75
27,1,50,2,4,4,5.0,1.0,4.0,5.0,4.0,5.0,0,0,0,1,0,0,0,2000.0,25066.666666666668,1.0,1,689.3333333333334
30,2,40,1,4,1,5.0,2.0,4.0,5.0,9.0,8.0,0,0,0,0,0,1,0,2000.0,3066.6666666666665,1.0,3,84.33333333333333
3,1,27,8,4,5,5.0,8.0,11.0,3.0,14.0,5.0,0,1,0,0,0,0,1,120000.0,35866.66666666667,5.0,4,986.3333333333335
39,2,17,4,1,6,5.0,2.0,4.0,5.0,4.0,5.0,0,0,0,0,0,1,0,400.0,14543.333333333332,1.0,5,399.94166666666666
30,1,74,2,4,6,5.0,8.0,10.0,5.0,14.0,5.0,0,0,0,1,0,0,0,15000.0,16750.0,2.0,5,460.625
30,1,33,9,4,1,5.0,8.0,13.0,7.0,10.0,5.0,1,0,0,0,1,0,0,50000.0,30100.0,4.0,2,827.75
14,1,56,9,2,2,5.0,8.0,12.0,3.0,11.0,2.0,1,0,1,0,0,0,1,5000.0,7083.333333333334,5.0,4,194.79166666666669
32,1,28,9,1,1,5.0,7.0,11.0,3.0,10.0,1.0,0,0,0,0,0,0,1,7000.0,8700.0,5.0,4,239.25
35,1,56,2,4,2,5.0,2.0,4.0,5.0,4.0,6.0,0,0,0,1,0,0,0,1000.0,12000.0,2.0,1,330.0
23,2,34,2,4,9,5.0,8.0,8.0,7.0,14.0,5.0,0,1,1,0,0,1,0,6000.0,12283.333333333334,4.0,3,337.7916666666667
28,1,38,2,2,5,5.0,8.0,13.0,7.0,11.0,5.0,0,0,0,1,0,1,0,30000.0,22866.666666666664,3.0,3,628.8333333333333
16,2,19,3,1,2,5.0,8.0,11.0,5.0,9.0,5.0,0,0,0,0,0,1,0,7000.0,3050.0,3.0,3,83.875
43,2,68,2,3,4,5.0,1.0,5.0,5.0,4.0,6.0,0,0,0,1,0,0,0,3000.0,5300.0,1.0,1,145.75
26,2,30,9,4,3,5.0,8.0,13.0,7.0,11.0,5.0,0,0,0,0,0,1,0,10000.0,6800.0,4.0,3,187.0
47,2,58,2,2,7,8.0,7.0,11.0,3.0,10.0,4.0,0,0,0,0,0,0,1,30000.0,35666.66666666667,5.0,4,980.8333333333335
25,2,29,9,1,4,5.0,7.0,12.0,3.0,11.0,4.0,0,0,0,0,0,1,0,10000.0,7600.0,5.0,3,209.0
40,2,27,5,4,5,5.0,8.0,13.0,5.0,6.0,6.0,0,0,0,0,0,1,1,2000.0,10133.333333333334,3.0,3,278.6666666666667
20,1,60,4,4,2,5.0,8.0,12.0,5.0,11.0,4.0,0,0,1,1,0,0,1,12000.0,6950.0,4.0,1,191.125
47,1,22,5,4,3,8.0,8.0,12.0,3.0,11.0,2.0,0,0,0,0,0,0,0,6000.0,19300.0,5.0,5,530.75
20,2,54,3,3,1,5.0,8.0,12.0,5.0,11.0,6.0,0,0,0,0,0,1,0,1000.0,6400.0,3.0,3,176.0
33,2,27,5,2,3,5.0,8.0,9.0,7.0,4.0,5.0,0,0,0,0,0,1,0,1000.0,5916.666666666667,3.0,3,162.70833333333334
42,2,45,5,4,5,5.0,8.0,4.0,3.0,11.0,5.0,0,0,0,0,0,1,0,3000.0,12216.666666666668,3.0,3,335.95833333333337
44,2,77,1,3,4,5.0,8.0,4.0,5.0,4.0,6.0,0,0,0,0,0,0,0,2000.0,1166.6666666666667,1.0,5,32.083333333333336
42,1,22,7,1,4,5.0,8.0,10.0,3.0,11.0,6.0,0,0,1,0,0,0,0,15000.0,10466.666666666668,4.0,5,287.83333333333337
20,1,34,7,4,4,8.0,7.0,12.0,3.0,10.0,2.0,0,1,1,1,0,0,1,20000.0,8566.666666666666,5.0,1,235.58333333333331
